Record,Date,LOC Time,Pieza,Programa,Articulo,Configurada,Eje,Engranaje,Polishing,Parada de emergencia,Pase libre,Bandeja principal,Bandeja a Polishing,Status
         1,2024-08-20,11:27:18,    11,     9,    2028687,1,0,1,0,0,0,1,0,1
         2,2024-08-20,11:27:29,    12,     9,    2028687,1,0,1,0,0,0,1,0,0
         3,2024-08-20,11:27:32,    13,     9,    2028687,1,0,1,0,0,0,1,0,1
         4,2024-08-20,11:27:39,    14,     9,    2028687,1,0,1,0,0,0,1,0,1
         5,2024-08-20,11:27:40,    15,     9,    2028687,1,0,1,0,0,0,1,0,0
         6,2024-08-20,11:27:46,    16,     9,    2028687,1,0,1,0,0,0,1,0,1
         7,2024-08-20,11:28:09,    17,     9,    2028687,1,0,1,0,0,0,1,0,1
         8,2024-08-20,11:28:15,    18,     9,    2028687,1,0,1,0,0,0,1,0,1
         9,2024-08-20,11:28:28,    18,     9,    2028687,1,0,1,0,0,0,1,0,1
        10,2024-08-20,11:28:29,    18,     9,    2028687,1,0,1,0,0,0,1,0,1
